_mb_row_id,Municipio,Categoria,Nome,Endereco,Latitude,Longitude
128,Pedra Branca,Educação,ECI JOÃO DE SOUSA PRIMO,"R. José Teotônio, Centro, Pedra Branca - PB, 58790-000",-7.42653876,-38.07043277
129,Pedra Branca,Educação,EEEF RAIMUNDO EPAMINONDAS DE SOUSA,"R. Antonio de Sousa Oliveira, Centro, Pedra Branca - PB, 58790-000",-7.42624393,-38.06779245
130,Guarabira,Educação,Escola Cidadã Integral José Soares de Carvalho - Colégio Estadual,"R. Henrique Pacífico, 45 - Primavera, Guarabira - PB, 58200-000",-6.85401598,-35.49751694
131,Guarabira,Educação,"EEEF DEP GUSTAVO AMORIM
","R. Oséias Amaral, 133 - Cordeiro, Guarabira - PB, 58200-000",-6.84920683,-35.49950764
132,Guarabira,Educação,E.E.E.F.M. Professor Edgardo Júlio,"R. Hermenegildo Cunha - Nordeste, Guarabira - PB, 58200-000",-6.85823617,-35.48389813
133,Guarabira,Educação,"EEEF Antenor Navarro
","R. Pref. Manoel Lordão, 129 - Centro, Guarabira - PB, 58200-000",-6.85565505,-35.48716374
134,Guarabira,Educação,"EEEM John Kennedy
","R. John Kenedy, 515 - Bairro Novo, Guarabira - PB, 58200-000",-6.84440424,-35.49448384
135,Guarabira,Educação,ECIT Monsenhor Emiliano de Cristo,"R. João Lordão, 125 - Nordeste II, Guarabira - PB, 58200-000",-6.85659970,-35.48233055
136,Guarabira,Educação,"E.E.E.F. Professor Antônio Benvindo
","R. Napoleão Laureano - Bairro Novo, Guarabira - PB, 58200-000",-6.84494035,-35.49449646
137,Guarabira,Educação,EEEF Desembargador Pedro Bandeira,"R. José Maurício da Costa, S/N - CONJ. ASSIS CHATEAUBRIAND, Guarabira - PB, 58200-000",-6.86336112,-35.49169540
138,Guarabira,Educação,ECIT Dom Marcelo Pinto Carvalheira,"R. Otacílio Líra Cabral - Guarabira, PB, 58200-000",-6.87773009,-35.47826513
139,Guarabira,Educação,EEF Abdon Miranda,"Sítio. São José do Miranda, Guarabira - PB, 58200-000",-6.92531019,-35.39479183
140,Guarabira,Trânsito,DETRAN Departamento Estadual de Trânsito,"R. Padre Inácio de Almeida, 215 - Bairro Novo, Guarabira - PB, 58200-000",-6.84199619,-35.48829113
141,Guarabira,Segurança,"Delegacia de Policia de Guarabira
","Tv. Lodônio de Bulhões, 36-112 - Alto Boa Vista, Guarabira - PB, 58200-000",-6.84825878,-35.50403235
142,Guarabira,Segurança,"8ª Delegacia da Polícia Civil
","R. José da Cunha Rego, 180 - Centro, Guarabira - PB, 58200-000",-6.85004037,-35.48897266
143,Itaporanga,Trânsito,DETRAN Itaporanga PB,"Estr. do Caravelas, 192-194 Itaporanga - PB, 58780-000",-7.31042123,-38.15232816
144,Piancó,Trânsito,DETRAN Departamento Estadual de Trânsito,"BR-361, 29, Piancó - PB, 58765-000",-7.20806526,-37.95130465
145,Itaporanga,Segurança,Delegacia Distrital de Itaporanga,"R. Edilma Leite Cavalcanti Olimpio, 126-146 - centro, Itaporanga - PB, 58780-000",-7.31086487,-38.15007907
146,Campina Grande,Trânsito,Detran,"Av. Francisco Lopes de Almeida, 2296 - Malvinas, Campina Grande - PB, 58417-290",-7.25157536,-35.93003536
147,Campina Grande,Educação,ECIT Professor Bráulio Maia Júnior,"R. Tranqüilino Coelho Lemos - Dinamérica, Campina Grande - PB, 58432-300",-7.23800462,-35.91711155
